,顧客ID,登録日,顧客名,メールアドレス,都道府県,市区町村,顧客区分,獲得チャネル,会員ランク,有効会員フラグ,年収帯,顧客ID(注文),注文ID,注文日,注文ステータス,販売チャネル,支払方法,配送先都道府県,クーポンコード,小計金額,割引金額,送料,合計金額,純売り上げ
263,C00264,2025-04-14,渡辺 陽翔,customer00264@example.jp,愛知県,岡崎市,個人,広告検索,プラチナ,有,300～500万円,C00264,O000042O000177O000242,2025-01-152025-02-082024-02-04,配達完了配達完了配達完了,ウェブウェブ営業担当,クレジットカード銀行振込スマホ決済,愛知県愛知県愛知県,FREESHIP,2801.54,0.0,0.0,2801.54,2801.54
264,C00265,2025-09-16,山本 さくら,customer00265@example.jp,北海道,札幌市,中小企業,自然検索,プラチナ,無,500～800万円,,,,,,,,,,,,,
265,C00266,2025-11-17,田中 葵,customer00266@example.jp,北海道,旭川市,個人,自然検索,シルバー,有,300～500万円,C00266,O000293O000691,2024-11-072025-09-16,配達完了処理中,ウェブモバイルアプリ,クレジットカード銀行振込,北海道北海道,,2397.13,0.0,0.0,2397.13,2397.13
266,C00267,2025-08-27,中村 凛,customer00267@example.jp,東京都,渋谷区,個人,自然検索,シルバー,有,300～500万円,C00267,O000314O000355O000536,2025-01-012024-02-152024-07-09,返品済み配達完了発送済み,モバイルアプリウェブ営業担当,クレジットカード請求書払いコンビニ払い,東京都東京都東京都,WELCOME10SPRING15FREESHIP,1775.97,101.54,5.9,1680.33,1668.53
267,C00268,2025-03-24,鈴木 樹,customer00268@example.jp,大阪府,大阪市,中小企業,自然検索,シルバー,有,"800～1,200万円",C00268,O000203O000317O000483,2024-09-022024-10-312024-02-16,配達完了配達完了配達完了,モールモバイルアプリウェブ,スマホ決済スマホ決済銀行振込,大阪府大阪府大阪府,VIP20SPRING15,1486.57,188.42,5.9,1304.05,1292.25
268,C00269,2022-02-24,鈴木 湊,customer00269@example.jp,大阪府,吹田市,大企業,SNS,ブロンズ,有,"800～1,200万円",C00269,O000113O000243,2024-09-042024-02-11,処理中配達完了,ウェブウェブ,クレジットカードクレジットカード,大阪府大阪府,,885.7,0.0,0.0,885.7,885.7
269,C00270,2022-05-01,中村 結菜,customer00270@example.jp,福岡県,北九州市,個人,広告検索,プラチナ,無,300～500万円,C00270,O000051,2025-06-17,配達完了,モバイルアプリ,クレジットカード,福岡県,,1406.43,0.0,0.0,1406.43,1406.43
270,C00271,2025-06-14,伊藤 陽翔,customer00271@example.jp,神奈川県,藤沢市,個人,自然検索,プラチナ,有,300～500万円,,,,,,,,,,,,,
271,C00272,2024-05-26,佐藤 凛,customer00272@example.jp,東京都,新宿区,個人,提携先,ブロンズ,有,300～500万円,C00272,O000032O000327O000338O000574O000660,2025-07-282025-02-102024-02-182025-05-232025-07-26,キャンセル発送済み配達完了配達完了処理中,モールウェブウェブ営業担当ウェブ,スマホ決済クレジットカードクレジットカードスマホ決済クレジットカード,東京都東京都東京都東京都東京都,WELCOME10WELCOME10VIP20,2098.84,198.12,5.9,1906.62,1894.8200000000002
272,C00273,2023-09-23,鈴木 凛,customer00273@example.jp,福岡県,北九州市,個人,紹介,シルバー,有,"800～1,200万円",C00273,O000107O000249O000330O000522O000706O000719,2025-11-112025-01-202024-06-012025-04-172024-05-162024-07-07,キャンセル配達完了配達完了配達完了処理中配達完了,ウェブウェブウェブウェブウェブ営業担当,クレジットカードスマホ決済クレジットカードコンビニ払いクレジットカードクレジットカード,福岡県福岡県福岡県福岡県福岡県福岡県,WELCOME10,5051.01,125.14,0.0,4925.87,4925.87
273,C00274,2022-03-21,田中 凛,customer00274@example.jp,愛知県,豊田市,個人,広告検索,ブロンズ,有,300～500万円,,,,,,,,,,,,,
274,C00275,2022-10-29,山本 陽翔,customer00275@example.jp,北海道,札幌市,個人,自然検索,ゴールド,有,500～800万円,,,,,,,,,,,,,
275,C00276,2022-08-26,佐藤 蓮,customer00276@example.jp,東京都,新宿区,中小企業,広告検索,ブロンズ,無,300～500万円,C00276,O000593,2024-01-24,配達完了,モバイルアプリ,請求書払い,東京都,,984.21,0.0,0.0,984.21,984.21
276,C00277,2024-08-04,山本 悠真,customer00277@example.jp,福岡県,北九州市,個人,SNS,ブロンズ,有,"800～1,200万円",C00277,O000031O000437O000547,2024-11-022024-05-212024-11-30,配達完了キャンセル配達完了,ウェブモバイルアプリモバイルアプリ,クレジットカードクレジットカードスマホ決済,福岡県福岡県福岡県,,2902.15,0.0,0.0,2902.15,2902.15
277,C00278,2025-12-22,伊藤 凛,customer00278@example.jp,東京都,渋谷区,個人,紹介,ブロンズ,無,"1,200万円以上",C00278,O000125,2024-08-12,配達完了,モバイルアプリ,請求書払い,東京都,,340.42,0.0,0.0,340.42,340.42
278,C00279,2025-04-25,山本 悠真,customer00279@example.jp,神奈川県,川崎市,個人,自然検索,ブロンズ,有,"800～1,200万円",C00279,O000161,2025-01-12,配達完了,ウェブ,銀行振込,神奈川県,FREESHIP,709.88,0.0,0.0,709.88,709.88
279,C00280,2024-10-08,中村 凛,customer00280@example.jp,東京都,世田谷区,中小企業,提携先,ブロンズ,有,"1,200万円以上",C00280,O000127O000154O000303,2025-06-012024-03-262024-07-24,配達完了返品済み配達完了,ウェブウェブウェブ,スマホ決済コンビニ払いクレジットカード,東京都東京都東京都,SPRING15VIP20,1794.4199999999998,237.35000000000002,5.9,1562.9699999999998,1551.1699999999998
280,C00281,2022-07-02,高橋 芽依,customer00281@example.jp,千葉県,柏市,中小企業,自然検索,シルバー,有,"800～1,200万円",C00281,O000277O000288O000408,2024-10-232024-08-022024-09-27,配達完了発送済みキャンセル,ウェブウェブモバイルアプリ,クレジットカード銀行振込スマホ決済,千葉県千葉県千葉県,FREESHIPB2B5,2145.59,48.44,0.0,2097.15,2097.15
281,C00282,2024-01-06,鈴木 大和,customer00282@example.jp,千葉県,船橋市,大企業,紹介,ブロンズ,無,300～500万円,C00282,O000479,2024-10-02,配達完了,ウェブ,銀行振込,千葉県,B2B5,1349.81,67.49,0.0,1282.32,1282.32
282,C00283,2024-10-11,山本 陽葵,customer00283@example.jp,北海道,札幌市,個人,SNS,ブロンズ,有,500～800万円,C00283,O000118O000322O000463O000546,2024-11-142025-06-082025-02-172024-06-10,発送済み配達完了配達完了キャンセル,モバイルアプリモバイルアプリモバイルアプリモバイルアプリ,銀行振込クレジットカードクレジットカード請求書払い,北海道北海道北海道北海道,B2B5,1732.52,6.34,5.9,1732.08,1720.2799999999997
283,C00284,2023-04-23,渡辺 葵,customer00284@example.jp,神奈川県,川崎市,大企業,自然検索,ブロンズ,有,300万円未満,C00284,O000449O000454,2024-10-132025-04-07,配達完了配達完了,モバイルアプリウェブ,クレジットカードクレジットカード,神奈川県神奈川県,,1122.27,0.0,0.0,1122.27,1122.27
284,C00285,2025-07-15,田中 さくら,customer00285@example.jp,東京都,世田谷区,大企業,紹介,プラチナ,有,300～500万円,C00285,O000085O000095O000128O000319O000664,2025-06-272024-09-162025-08-192025-06-232024-09-10,配達完了配達完了配達完了配達完了配達完了,ウェブウェブモバイルアプリモバイルアプリウェブ,スマホ決済スマホ決済スマホ決済コンビニ払いスマホ決済,東京都東京都東京都東京都東京都,WELCOME10WELCOME10,3730.91,162.18,0.0,3568.73,3568.73
285,C00286,2023-04-02,佐藤 結菜,customer00286@example.jp,神奈川県,川崎市,個人,紹介,ブロンズ,有,500～800万円,C00286,O000021O000488,2024-09-162025-08-19,発送済み配達完了,モバイルアプリウェブ,スマホ決済銀行振込,神奈川県神奈川県,WELCOME10,635.7099999999999,3.83,5.9,637.78,625.98
286,C00287,2025-07-01,渡辺 凛,customer00287@example.jp,北海道,札幌市,個人,自然検索,ゴールド,無,300万円未満,C00287,O000057O000513,2025-08-222025-12-22,配達完了キャンセル,ウェブモバイルアプリ,クレジットカード銀行振込,北海道北海道,FREESHIP,941.04,0.0,0.0,941.04,941.04
287,C00288,2022-03-23,田中 陽翔,customer00288@example.jp,福岡県,福岡市,中小企業,SNS,シルバー,有,"800～1,200万円",C00288,O000301O000651,2024-01-302025-07-16,配達完了配達完了,ウェブウェブ,スマホ決済クレジットカード,福岡県福岡県,,1122.56,0.0,0.0,1122.56,1122.56
288,C00289,2023-12-17,伊藤 陽翔,customer00289@example.jp,北海道,函館市,個人,店頭,シルバー,有,"1,200万円以上",C00289,O000653,2025-06-23,配達完了,ウェブ,スマホ決済,北海道,SPRING15,1417.07,212.56,0.0,1204.51,1204.51
289,C00290,2022-12-04,田中 蓮,customer00290@example.jp,東京都,新宿区,個人,紹介,ブロンズ,有,500～800万円,,,,,,,,,,,,,
290,C00291,2022-06-13,佐藤 湊,customer00291@example.jp,東京都,世田谷区,個人,SNS,シルバー,有,300万円未満,C00291,O000375O000478O000715,2025-08-042024-10-182024-07-06,配達完了配達完了配達完了,モバイルアプリウェブウェブ,クレジットカード銀行振込銀行振込,東京都東京都東京都,FREESHIP,1725.92,0.0,0.0,1725.92,1725.92
291,C00292,2022-05-16,田中 湊,customer00292@example.jp,東京都,千代田区,大企業,紹介,シルバー,有,500～800万円,,,,,,,,,,,,,
292,C00293,2022-05-07,伊藤 芽依,customer00293@example.jp,千葉県,船橋市,大企業,提携先,ブロンズ,有,300～500万円,C00293,O000082O000097O000217O000223O000429,2025-03-012024-04-142024-12-132025-09-142025-01-21,処理中配達完了配達完了配達完了処理中,ウェブウェブウェブウェブモバイルアプリ,クレジットカードコンビニ払いクレジットカードクレジットカードスマホ決済,千葉県千葉県千葉県千葉県千葉県,,2654.69,0.0,5.9,2660.59,2648.79
293,C00294,2025-09-27,中村 陽翔,customer00294@example.jp,神奈川県,横浜市,中小企業,店頭,シルバー,有,300万円未満,C00294,O000007O000078O000476,2025-11-252025-09-292025-05-20,配達完了処理中配達完了,モバイルアプリモバイルアプリウェブ,スマホ決済請求書払いスマホ決済,神奈川県神奈川県神奈川県,B2B5,2450.0,30.07,0.0,2419.9300000000003,2419.9300000000003
294,C00295,2024-07-28,山本 芽依,customer00295@example.jp,千葉県,柏市,個人,提携先,ブロンズ,有,500～800万円,C00295,O000131O000261O000597,2024-11-062025-01-052024-08-31,配達完了配達完了配達完了,ウェブモールウェブ,クレジットカードクレジットカードクレジットカード,千葉県千葉県千葉県,,2868.84,0.0,0.0,2868.84,2868.84
295,C00296,2025-11-17,山本 結菜,customer00296@example.jp,福岡県,久留米市,個人,SNS,ブロンズ,無,300万円未満,,,,,,,,,,,,,
296,C00297,2024-10-01,中村 蓮,customer00297@example.jp,北海道,旭川市,大企業,自然検索,ブロンズ,有,300～500万円,C00297,O000150O000582,2024-07-052024-10-30,配達完了発送済み,ウェブモバイルアプリ,請求書払いクレジットカード,北海道北海道,FREESHIP,859.34,0.0,0.0,859.34,859.34
297,C00298,2023-03-26,佐藤 湊,customer00298@example.jp,神奈川県,相模原市,個人,SNS,シルバー,無,300万円未満,,,,,,,,,,,,,
298,C00299,2024-01-01,田中 蓮,customer00299@example.jp,大阪府,堺市,個人,自然検索,シルバー,有,500～800万円,C00299,O000013O000143O000711,2024-04-052025-07-292025-12-27,配達完了配達完了配達完了,ウェブモバイルアプリウェブ,クレジットカード銀行振込銀行振込,大阪府大阪府大阪府,FREESHIP,1514.95,0.0,5.9,1520.85,1509.0500000000002
299,C00300,2022-07-31,高橋 大和,customer00300@example.jp,東京都,世田谷区,個人,店頭,ブロンズ,有,500～800万円,C00300,O000312O000365O000435O000617O000680,2025-07-072024-09-232024-09-042025-04-252025-12-20,返品済み配達完了配達完了配達完了処理中,モバイルアプリモバイルアプリモバイルアプリウェブウェブ,スマホ決済クレジットカードスマホ決済コンビニ払い銀行振込,東京都東京都東京都東京都東京都,FREESHIP,2290.49,0.0,5.9,2296.39,2284.59
300,C00301,2023-09-15,渡辺 陽葵,customer00301@example.jp,東京都,千代田区,個人,提携先,ゴールド,無,300～500万円,,,,,,,,,,,,,
301,C00302,2022-10-04,中村 大和,customer00302@example.jp,大阪府,堺市,大企業,自然検索,ブロンズ,無,"800～1,200万円",,,,,,,,,,,,,
302,C00303,2025-06-11,佐藤 葵,customer00303@example.jp,千葉県,柏市,個人,紹介,ブロンズ,有,300万円未満,C00303,O000004O000086O000188O000466O000532,2025-05-092024-12-012025-01-122024-04-182024-02-05,配達完了処理中配達完了配達完了配達完了,ウェブウェブウェブウェブウェブ,銀行振込銀行振込コンビニ払い銀行振込クレジットカード,千葉県千葉県千葉県千葉県千葉県,WELCOME10SPRING15WELCOME10,2481.54,228.20999999999998,5.9,2259.23,2247.4300000000003
303,C00304,2024-02-08,佐藤 芽依,customer00304@example.jp,福岡県,福岡市,個人,広告検索,シルバー,無,300万円未満,C00304,O000387O000646,2024-11-142024-11-09,発送済み配達完了,モバイルアプリモバイルアプリ,スマホ決済スマホ決済,福岡県福岡県,WELCOME10,688.23,54.45,5.9,639.6800000000001,627.88
304,C00305,2023-12-09,山本 凛,customer00305@example.jp,東京都,新宿区,個人,自然検索,ゴールド,有,500～800万円,C00305,O000650,2025-06-20,配達完了,モバイルアプリ,スマホ決済,東京都,B2B5,1074.65,53.73,0.0,1020.92,1020.9200000000001
305,C00306,2025-08-25,高橋 結菜,customer00306@example.jp,東京都,千代田区,個人,広告検索,ブロンズ,有,300～500万円,,,,,,,,,,,,,
306,C00307,2022-04-01,伊藤 湊,customer00307@example.jp,大阪府,堺市,個人,SNS,ブロンズ,有,500～800万円,C00307,O000152O000165,2025-06-012025-11-30,発送済み発送済み,モバイルアプリモール,スマホ決済クレジットカード,大阪府大阪府,VIP20,1410.12,5.57,5.9,1410.45,1398.65
307,C00308,2022-02-04,山本 湊,customer00308@example.jp,東京都,渋谷区,大企業,自然検索,シルバー,有,300万円未満,C00308,O000311O000438,2024-07-282024-10-01,配達完了配達完了,モバイルアプリウェブ,クレジットカードスマホ決済,東京都東京都,,2790.84,0.0,0.0,2790.84,2790.84
308,C00309,2024-04-15,中村 樹,customer00309@example.jp,千葉県,柏市,個人,店頭,シルバー,有,500～800万円,C00309,O000067O000471O000609,2025-07-122025-07-112024-11-11,配達完了配達完了キャンセル,ウェブモールモバイルアプリ,スマホ決済クレジットカードクレジットカード,千葉県千葉県千葉県,B2B5,2608.37,47.21,0.0,2561.16,2561.16
309,C00310,2024-12-21,佐藤 さくら,customer00310@example.jp,東京都,千代田区,大企業,紹介,シルバー,有,300～500万円,C00310,O000015O000157O000360O000426O000472O000490O000549O000679,2024-06-052025-02-192025-05-252025-02-282025-07-022025-03-202025-09-022024-03-27,配達完了配達完了処理中配達完了配達完了キャンセル配達完了配達完了,モバイルアプリウェブモールモバイルアプリモールモバイルアプリモバイルアプリモバイルアプリ,請求書払いクレジットカード銀行振込銀行振込クレジットカード銀行振込スマホ決済コンビニ払い,東京都東京都東京都東京都東京都東京都東京都東京都,WELCOME10B2B5,4518.8,91.81,0.0,4426.99,4426.99
310,C00311,2023-10-11,田中 凛,customer00311@example.jp,愛知県,岡崎市,大企業,広告検索,ブロンズ,有,300万円未満,C00311,O000048O000058,2024-03-232025-04-26,配達完了配達完了,営業担当営業担当,請求書払いクレジットカード,愛知県愛知県,B2B5,1873.02,29.57,0.0,1843.45,1843.4499999999998
311,C00312,2023-12-04,山本 結菜,customer00312@example.jp,東京都,千代田区,個人,自然検索,シルバー,有,"800～1,200万円",,,,,,,,,,,,,
312,C00313,2023-12-21,山本 大和,customer00313@example.jp,福岡県,福岡市,個人,提携先,ゴールド,有,300万円未満,,,,,,,,,,,,,
313,C00314,2025-05-27,伊藤 樹,customer00314@example.jp,北海道,函館市,個人,SNS,ブロンズ,有,500～800万円,C00314,O000367,2025-04-17,配達完了,モバイルアプリ,スマホ決済,北海道,,1270.99,0.0,0.0,1270.99,1270.99
314,C00315,2025-05-19,渡辺 結菜,customer00315@example.jp,神奈川県,川崎市,個人,広告検索,ブロンズ,有,300万円未満,C00315,O000207O000241O000253O000458,2025-03-282025-04-062025-06-032025-12-27,配達完了配達完了返品済み発送済み,ウェブウェブウェブウェブ,クレジットカードクレジットカードクレジットカード銀行振込,神奈川県神奈川県神奈川県神奈川県,FREESHIPB2B5,1953.9400000000003,1.72,11.8,1964.02,1940.42
315,C00316,2025-05-23,中村 悠真,customer00316@example.jp,神奈川県,川崎市,中小企業,自然検索,プラチナ,有,300～500万円,C00316,O000120O000218O000318O000347O000520O000605,2024-09-302024-05-282024-05-052025-03-052024-09-262024-07-01,配達完了配達完了配達完了配達完了発送済み処理中,営業担当ウェブモールモバイルアプリウェブモール,クレジットカードスマホ決済クレジットカードクレジットカードスマホ決済クレジットカード,神奈川県神奈川県神奈川県神奈川県神奈川県神奈川県,SPRING15SPRING15VIP20,5496.47,417.86,5.9,5084.51,5072.71
316,C00317,2025-04-17,伊藤 大和,customer00317@example.jp,東京都,新宿区,個人,自然検索,ブロンズ,有,300万円未満,,,,,,,,,,,,,
317,C00318,2024-02-21,田中 陽翔,customer00318@example.jp,愛知県,岡崎市,個人,SNS,シルバー,無,300～500万円,,,,,,,,,,,,,
318,C00319,2022-06-27,鈴木 芽依,customer00319@example.jp,大阪府,豊中市,中小企業,広告検索,ゴールド,有,300万円未満,C00319,O000027O000340O000348O000529,2025-08-222024-02-032024-02-112024-09-09,配達完了処理中キャンセル処理中,モール営業担当モバイルアプリウェブ,クレジットカード銀行振込クレジットカードクレジットカード,大阪府大阪府大阪府大阪府,FREESHIPSPRING15,3213.87,12.7,5.9,3207.07,3195.27
319,C00320,2024-12-19,中村 大和,customer00320@example.jp,東京都,渋谷区,個人,SNS,シルバー,有,"1,200万円以上",C00320,O000116O000688,2024-02-022024-07-06,配達完了配達完了,ウェブウェブ,スマホ決済クレジットカード,東京都東京都,,1111.65,0.0,0.0,1111.65,1111.65
320,C00321,2025-07-14,高橋 陽葵,customer00321@example.jp,愛知県,岡崎市,個人,自然検索,ブロンズ,有,300万円未満,C00321,O000569O000619,2024-02-032025-12-17,配達完了配達完了,営業担当ウェブ,クレジットカード銀行振込,愛知県愛知県,,2077.33,0.0,0.0,2077.33,2077.33
321,C00322,2023-02-27,高橋 凛,customer00322@example.jp,東京都,千代田区,個人,広告検索,ブロンズ,有,300～500万円,C00322,O000497O000608,2025-09-292025-11-10,配達完了配達完了,モバイルアプリウェブ,スマホ決済スマホ決済,東京都東京都,WELCOME10,803.79,43.12,0.0,760.67,760.67
322,C00323,2022-01-14,渡辺 陽葵,customer00323@example.jp,福岡県,北九州市,個人,自然検索,シルバー,有,500～800万円,C00323,O000674,2025-10-30,配達完了,モバイルアプリ,クレジットカード,福岡県,,1353.65,0.0,0.0,1353.65,1353.65
323,C00324,2025-12-08,田中 凛,customer00324@example.jp,福岡県,久留米市,個人,広告検索,ゴールド,有,500～800万円,C00324,O000211O000295O000378O000678,2024-01-052024-02-202025-08-252024-10-26,配達完了配達完了発送済み配達完了,モバイルアプリウェブモバイルアプリウェブ,銀行振込銀行振込スマホ決済クレジットカード,福岡県福岡県福岡県福岡県,WELCOME10WELCOME10,1440.66,53.5,5.9,1393.06,1381.26
324,C00325,2022-11-01,高橋 悠真,customer00325@example.jp,東京都,千代田区,個人,店頭,ブロンズ,無,"800～1,200万円",,,,,,,,,,,,,
325,C00326,2025-10-15,田中 湊,customer00326@example.jp,千葉県,柏市,個人,自然検索,シルバー,有,"800～1,200万円",,,,,,,,,,,,,
326,C00327,2023-07-30,中村 悠真,customer00327@example.jp,大阪府,大阪市,個人,SNS,プラチナ,有,"800～1,200万円",C00327,O000376,2025-09-04,配達完了,モール,クレジットカード,大阪府,,1205.01,0.0,0.0,1205.01,1205.01
327,C00328,2022-12-05,渡辺 芽依,customer00328@example.jp,愛知県,名古屋市,中小企業,SNS,シルバー,有,"800～1,200万円",C00328,O000056,2024-01-04,配達完了,ウェブ,銀行振込,愛知県,,420.97,0.0,0.0,420.97,420.97
328,C00329,2024-12-31,渡辺 陽葵,customer00329@example.jp,北海道,札幌市,中小企業,紹介,プラチナ,有,500～800万円,,,,,,,,,,,,,
329,C00330,2022-10-20,渡辺 蓮,customer00330@example.jp,北海道,函館市,個人,提携先,ゴールド,有,500～800万円,C00330,O000023O000260O000521,2024-10-312025-07-232025-10-09,配達完了配達完了配達完了,ウェブモバイルアプリウェブ,クレジットカードコンビニ払いコンビニ払い,北海道北海道北海道,WELCOME10FREESHIP,1336.1799999999998,31.41,0.0,1304.77,1304.77
330,C00331,2024-12-09,高橋 葵,customer00331@example.jp,千葉県,千葉市,個人,紹介,シルバー,有,300～500万円,C00331,O000073,2025-12-23,配達完了,ウェブ,クレジットカード,千葉県,,517.74,0.0,0.0,517.74,517.74
331,C00332,2024-12-05,佐藤 さくら,customer00332@example.jp,東京都,渋谷区,中小企業,SNS,シルバー,有,300万円未満,,,,,,,,,,,,,
332,C00333,2025-05-21,山本 大和,customer00333@example.jp,千葉県,柏市,個人,店頭,ブロンズ,有,300～500万円,C00333,O000110O000302O000417,2024-10-312025-09-092025-10-08,配達完了配達完了配達完了,ウェブウェブモバイルアプリ,スマホ決済スマホ決済スマホ決済,千葉県千葉県千葉県,,2241.3,0.0,0.0,2241.3,2241.3
333,C00334,2022-04-02,渡辺 蓮,customer00334@example.jp,東京都,千代田区,個人,広告検索,ゴールド,有,300～500万円,,,,,,,,,,,,,
334,C00335,2024-09-12,田中 蓮,customer00335@example.jp,千葉県,千葉市,個人,自然検索,シルバー,有,"800～1,200万円",C00335,O000645O000649O000672,2024-06-172024-08-142025-04-20,配達完了配達完了配達完了,モバイルアプリモバイルアプリモバイルアプリ,クレジットカードクレジットカードクレジットカード,千葉県千葉県千葉県,WELCOME10,2438.78,118.86,0.0,2319.92,2319.92
335,C00336,2022-12-28,山本 陽葵,customer00336@example.jp,大阪府,堺市,中小企業,SNS,ブロンズ,有,300万円未満,C00336,O000640,2025-01-21,発送済み,モバイルアプリ,スマホ決済,大阪府,,1077.5,0.0,0.0,1077.5,1077.5
336,C00337,2025-10-09,中村 大和,customer00337@example.jp,東京都,千代田区,個人,提携先,ブロンズ,有,300～500万円,C00337,O000636O000697,2025-12-012024-07-15,配達完了配達完了,ウェブウェブ,スマホ決済コンビニ払い,東京都東京都,SPRING15,2516.95,183.06,0.0,2333.89,2333.89
337,C00338,2023-08-15,山本 陽葵,customer00338@example.jp,大阪府,堺市,個人,紹介,ゴールド,有,"800～1,200万円",C00338,O000098O000401O000670,2025-07-132024-02-232025-10-19,配達完了配達完了配達完了,モールモバイルアプリウェブ,クレジットカードクレジットカードクレジットカード,大阪府大阪府大阪府,B2B5FREESHIP,3076.69,16.64,0.0,3060.05,3060.05
338,C00339,2023-08-13,山本 陽葵,customer00339@example.jp,愛知県,岡崎市,個人,広告検索,ブロンズ,有,"1,200万円以上",,,,,,,,,,,,,
339,C00340,2025-11-19,田中 陽葵,customer00340@example.jp,大阪府,豊中市,大企業,自然検索,シルバー,有,500～800万円,C00340,O000246O000618,2024-04-252025-01-12,処理中配達完了,ウェブモバイルアプリ,クレジットカード銀行振込,大阪府大阪府,WELCOME10,1650.3799999999999,29.43,0.0,1620.9499999999998,1620.9499999999998
340,C00341,2022-02-21,中村 陽葵,customer00341@example.jp,愛知県,豊田市,個人,店頭,シルバー,有,300～500万円,C00341,O000104,2025-01-29,配達完了,モバイルアプリ,コンビニ払い,愛知県,,893.46,0.0,0.0,893.46,893.46
341,C00342,2025-10-01,田中 蓮,customer00342@example.jp,愛知県,豊田市,中小企業,自然検索,シルバー,有,300～500万円,C00342,O000173O000412,2024-06-112024-02-20,処理中配達完了,ウェブモバイルアプリ,スマホ決済コンビニ払い,愛知県愛知県,,1098.97,0.0,0.0,1098.97,1098.97
342,C00343,2024-09-26,佐藤 葵,customer00343@example.jp,福岡県,久留米市,大企業,提携先,シルバー,有,300万円未満,C00343,O000236O000671,2024-07-282025-02-26,配達完了配達完了,モバイルアプリモバイルアプリ,クレジットカードコンビニ払い,福岡県福岡県,,1013.02,0.0,5.9,1018.9200000000001,1007.12
343,C00344,2025-04-16,渡辺 結菜,customer00344@example.jp,千葉県,千葉市,個人,紹介,ブロンズ,有,300万円未満,C00344,O000130O000342,2025-05-082025-06-13,配達完了配達完了,モバイルアプリウェブ,クレジットカードクレジットカード,千葉県千葉県,,2141.93,0.0,0.0,2141.93,2141.93
344,C00345,2023-05-10,伊藤 凛,customer00345@example.jp,愛知県,豊田市,個人,広告検索,ブロンズ,有,300万円未満,C00345,O000075O000444O000612,2024-10-262025-12-052024-02-18,配達完了配達完了配達完了,ウェブウェブウェブ,コンビニ払いクレジットカードクレジットカード,愛知県愛知県愛知県,FREESHIPFREESHIP,3459.27,0.0,0.0,3459.27,3459.27
345,C00346,2022-10-08,伊藤 大和,customer00346@example.jp,神奈川県,川崎市,大企業,SNS,ブロンズ,有,500～800万円,C00346,O000383O000442,2024-03-082024-05-13,配達完了処理中,モバイルアプリモバイルアプリ,スマホ決済スマホ決済,神奈川県神奈川県,WELCOME10VIP20,934.65,138.2,0.0,796.45,796.4499999999999
346,C00347,2023-03-15,佐藤 蓮,customer00347@example.jp,大阪府,吹田市,中小企業,広告検索,ブロンズ,有,500～800万円,C00347,O000495O000699,2024-11-192024-06-28,キャンセル配達完了,モバイルアプリウェブ,クレジットカード銀行振込,大阪府大阪府,,1876.68,0.0,0.0,1876.68,1876.68
347,C00348,2024-02-22,鈴木 陽葵,customer00348@example.jp,北海道,函館市,個人,紹介,ブロンズ,有,"800～1,200万円",C00348,O000123O000352O000510O000662O000689,2024-11-042025-10-252024-03-292025-08-072025-06-05,配達完了発送済み配達完了配達完了配達完了,ウェブ営業担当ウェブウェブウェブ,クレジットカードクレジットカード請求書払いクレジットカードコンビニ払い,北海道北海道北海道北海道北海道,WELCOME10B2B5,2596.8599999999997,33.54,5.9,2569.2200000000003,2557.42
348,C00349,2025-10-25,高橋 凛,customer00349@example.jp,北海道,旭川市,個人,広告検索,ブロンズ,無,"800～1,200万円",,,,,,,,,,,,,
349,C00350,2022-03-21,佐藤 さくら,customer00350@example.jp,福岡県,北九州市,大企業,提携先,ブロンズ,有,"800～1,200万円",C00350,O000088O000091,2025-09-072024-08-06,配達完了配達完了,ウェブウェブ,コンビニ払い銀行振込,福岡県福岡県,WELCOME10,1953.93,102.03,0.0,1851.9,1851.9
